engagement_probability,threeXthree,twoXtwo
0.439536601,0,0
0.082332477,0,0
0.567066908,1,1
0.118230149,0,0
0.031991765,0,0
0.106077008,0,0
0.45285666,1,1
0.045570113,0,0
0.030987117,0,0
0.44874993,1,1
0.031910595,0,0
0.079009213,0,0
0.423576325,1,1
0.04879123,0,0
0.087880254,0,0
0.10751044,0,0
0.038410231,0,0
0.584966242,0,0
0.024331264,0,0
0.444863081,1,1
0.066368043,0,0
0.038756493,0,0
0.08250016,0,0
0.405100882,0,0
0.032895744,0,0
0.042234566,0,0
0.08336807,0,0
0.127171934,0,0
0.074261352,0,0
0.043870762,0,0
0.477959365,1,1
0.093361698,0,0
0.041649971,0,0
0.446454406,1,1
0.030007022,0,0
0.390877783,0,0
0.043047898,0,0
0.490992814,0,0
0.085159391,0,0
0.101915315,0,0
0.38462916,0,0
0.32456094,1,1
0.389736027,0,0
0.060619801,0,0
0.346754104,0,0
0.125720397,0,0
0.438719183,1,1
0.090934128,0,0
0.445366204,0,0
0.113777004,0,0
0.043205377,0,0
0.134645566,0,0
0.117246449,1,1
0.04402199,0,0
0.342365414,0,1
0.53641665,0,0
0.513944268,0,0
0.065740213,0,0
0.076247521,0,0
0.399582475,0,1
0.436647862,1,1
0.091783181,1,1
0.41198197,0,0
0.032349236,0,0
0.02623402,0,0
0.432419181,1,1
0.054919906,0,0
0.14750278,0,0
0.032167938,0,0
0.080564946,0,0
0.516526222,1,1
0.037280843,0,0
0.11651025,0,0
0.075061925,0,0
0.052659605,0,0
0.048089176,0,0
0.076765947,0,0
0.452872187,0,0
0.078958891,0,0
0.405012012,1,1
0.096668057,0,0
0.142171502,1,1
0.106344119,0,0
0.385956734,0,0
0.053969849,0,0
0.160667762,0,0
0.390597314,0,1
0.056648578,0,0
0.044260055,0,0
0.195641682,0,0
0.05536449,0,0
0.032996859,0,0
0.517578959,1,1
0.555059314,0,0
0.59933275,1,1
0.090538606,0,0
0.120341457,0,0
0.500528872,0,0
0.025998723,0,0
0.395108193,0,0
0.46850428,0,0
0.038121521,0,0
0.461354136,1,1
0.122196786,0,0
0.540554404,1,1
0.04029176,0,0
0.043415356,0,0
0.104622304,0,0
0.050339703,0,0
0.030054005,0,0
0.059618704,0,0
0.048900858,0,0
0.488610595,0,0
0.125494435,0,0
0.091358975,0,0
0.035022534,0,0
0.450553298,1,1
0.060505539,0,0
0.106475241,0,0
0.530649424,1,1
0.07342913,0,0
0.452747554,0,1
0.371622384,0,0
0.449437469,0,0
0.087285891,0,0
0.317765146,0,0
0.543988764,1,1
0.065783046,0,0
0.454509944,1,1
0.390300691,0,0
0.043996226,0,0
0.428856671,0,0
0.094232239,0,0
0.032108512,0,0
0.037705615,0,0
0.103825405,0,0
0.444880873,0,0
0.025144765,0,0
0.086178117,0,0
0.547499716,1,1
0.067105405,0,0
0.030618574,0,0
0.074591309,0,0
0.469254702,1,1
0.082250305,0,0
0.033007599,0,0
0.355438471,1,1
0.032410964,0,0
0.129311249,0,0
0.124730311,0,0
0.427946895,1,1
0.079222701,0,0
0.065906048,0,0
0.398065448,0,0
0.520895779,0,0
0.10309127,0,0
0.580788016,1,1
0.114945211,0,0
0.12505886,0,0
0.191773012,0,0
0.056581274,0,0
0.462912828,1,1
0.432564616,0,0
0.032600377,0,0
0.082977854,0,0
0.031782672,0,0
0.519381762,1,1
0.078750327,0,0
0.564265013,0,0
0.091426007,0,0
0.25140813,1,1
0.185172901,1,1
0.060740937,0,0
0.088188618,0,0
0.058830317,0,0
0.493371993,0,0
0.095191844,0,0
0.048031989,0,0
0.549546182,1,1
0.441481173,0,0
0.453856677,1,1
0.102409706,0,0
0.088477552,0,0
0.049550571,0,0
0.062536038,0,0
